Season,TeamID,Score,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,Ast,TO,Stl,Blk,PF,Opp_Score,Opp_FGM,Opp_FGA,Opp_FGM3,Opp_FGA3,Opp_FTM,Opp_FTA,Opp_OR,Opp_DR,Opp_Ast,Opp_TO,Opp_Stl,Opp_Blk,Opp_PF,Poss,OppPoss,Games,Wins,Avg_Off_Eff,Avg_Def_Eff,Net_Rating,EFG_Pct,TO_Rate,OR_Pct,Win_Pct,Overall_Win_Pct,Avg_Score,Avg_FGM,Avg_FGA,Avg_FGM3,Avg_FGA3,Avg_FTM,Avg_FTA,Avg_OR,Avg_DR,Avg_Ast,Avg_TO,Avg_Stl,Avg_Blk,Avg_PF,Avg_Opp_Score,Avg_Opp_FGM,Avg_Opp_FGA,Avg_Opp_FGM3,Avg_Opp_FGA3,Avg_Opp_FTM,Avg_Opp_FTA,Avg_Opp_OR,Avg_Opp_DR,Avg_Opp_Ast,Avg_Opp_TO,Avg_Opp_Stl,Avg_Opp_Blk,Avg_Opp_PF,Home_Win_Pct,Away_Win_Pct,Last_14_Days_Win_Pct,End_Season_Elo,seed
1981,1610612745,103.0,42.0,91.0,0.0,0.0,19.0,28.0,22.0,30.0,20.0,14.0,7.0,2.0,19.0,91.0,42.0,92.0,2.0,6.0,5.0,10.0,16.0,24.0,24.0,14.0,5.0,7.0,27.0,96.3,94.75,1,1,106.95742471443405,96.04221635883906,10.915208355594999,0.46153846153846156,0.14537902388369678,0.4782608695652174,1.0,1.0,103.0,42.0,91.0,0.0,0.0,19.0,28.0,22.0,30.0,20.0,14.0,7.0,2.0,19.0,91.0,42.0,92.0,2.0,6.0,5.0,10.0,16.0,24.0,24.0,14.0,5.0,7.0,27.0,1.0,,1.0,1494.0170949585256,1
1981,1610612746,102.0,40.0,85.0,1.0,6.0,21.0,33.0,17.0,25.0,15.0,18.0,9.0,4.0,31.0,109.0,38.0,75.0,0.0,0.0,33.0,37.0,8.0,30.0,19.0,20.0,8.0,6.0,30.0,101.675,104.575,1,0,100.31964593066142,104.2314128615826,-3.911766930921175,0.4764705882352941,0.1770346692894025,0.3617021276595745,0.0,0.0,102.0,40.0,85.0,1.0,6.0,21.0,33.0,17.0,25.0,15.0,18.0,9.0,4.0,31.0,109.0,38.0,75.0,0.0,0.0,33.0,37.0,8.0,30.0,19.0,20.0,8.0,6.0,30.0,0.0,,0.0,1487.1987000039423,9
1981,1610612747,674.0,273.0,551.0,1.0,10.0,127.0,189.0,110.0,174.0,188.0,118.0,64.0,42.0,153.0,675.0,277.0,555.0,4.0,14.0,117.0,167.0,90.0,160.0,172.0,93.0,56.0,51.0,159.0,648.775,637.325,6,4,103.88809679781126,105.91142666614364,-2.0233298683323824,0.49637023593466423,0.18188123771723633,0.4074074074074074,0.6666666666666666,0.6666666666666666,112.33333333333333,45.5,91.83333333333333,0.16666666666666666,1.6666666666666667,21.166666666666668,31.5,18.333333333333332,29.0,31.333333333333332,19.666666666666668,10.666666666666666,7.0,25.5,112.5,46.166666666666664,92.5,0.6666666666666666,2.3333333333333335,19.5,27.833333333333332,15.0,26.666666666666668,28.666666666666668,15.5,9.333333333333334,8.5,26.5,1.0,0.3333333333333333,0.6666666666666666,1524.7554095649277,5
1981,1610612749,1010.0,418.0,801.0,10.0,28.0,164.0,215.0,118.0,228.0,240.0,158.0,97.0,50.0,270.0,958.0,372.0,783.0,10.0,31.0,204.0,269.0,162.0,227.0,227.0,182.0,60.0,37.0,229.0,943.125,930.775,9,5,107.09078860172299,102.92498186994709,4.165806731775902,0.5280898876404494,0.16752816434724985,0.34202898550724636,0.5555555555555556,0.5555555555555556,112.22222222222223,46.44444444444444,89.0,1.1111111111111112,3.111111111111111,18.22222222222222,23.88888888888889,13.11111111111111,25.333333333333332,26.666666666666668,17.555555555555557,10.777777777777779,5.555555555555555,30.0,106.44444444444444,41.333333333333336,87.0,1.1111111111111112,3.4444444444444446,22.666666666666668,29.88888888888889,18.0,25.22222222222222,25.22222222222222,20.22222222222222,6.666666666666667,4.111111111111111,25.444444444444443,0.75,0.4,1.0,1508.352552097636,7
1981,1610612751,106.0,41.0,86.0,2.0,6.0,22.0,29.0,15.0,25.0,27.0,28.0,11.0,9.0,19.0,113.0,48.0,94.0,1.0,3.0,16.0,17.0,16.0,23.0,19.0,28.0,18.0,6.0,28.0,112.775,114.075,1,0,93.99246286854356,99.05763751917598,-5.065174650632429,0.4883720930232558,0.2482819773886056,0.39473684210526316,0.0,0.0,106.0,41.0,86.0,2.0,6.0,22.0,29.0,15.0,25.0,27.0,28.0,11.0,9.0,19.0,113.0,48.0,94.0,1.0,3.0,16.0,17.0,16.0,23.0,19.0,28.0,18.0,6.0,28.0,0.0,,0.0,1487.7413034995413,9
1981,1610612755,866.0,353.0,723.0,5.0,16.0,155.0,223.0,132.0,202.0,218.0,133.0,72.0,58.0,216.0,853.0,338.0,706.0,1.0,14.0,176.0,248.0,133.0,197.0,228.0,155.0,76.0,50.0,209.0,829.925,845.8,8,3,104.34677832334248,100.8512650744857,3.4955132488567813,0.491701244813278,0.16025544476910564,0.4012158054711246,0.375,0.375,108.25,44.125,90.375,0.625,2.0,19.375,27.875,16.5,25.25,27.25,16.625,9.0,7.25,27.0,106.625,42.25,88.25,0.125,1.75,22.0,31.0,16.625,24.625,28.5,19.375,9.5,6.25,26.125,0.75,0.0,0.3333333333333333,1475.6551248746525,8
1981,1610612756,113.0,43.0,86.0,1.0,2.0,26.0,34.0,17.0,24.0,28.0,18.0,6.0,6.0,33.0,112.0,42.0,79.0,1.0,3.0,27.0,35.0,12.0,24.0,18.0,15.0,10.0,3.0,36.0,103.15,98.625,1,1,109.54920019389237,113.5614702154626,-4.012270021570231,0.5058139534883721,0.174503150751333,0.4146341463414634,1.0,1.0,113.0,43.0,86.0,1.0,2.0,26.0,34.0,17.0,24.0,28.0,18.0,6.0,6.0,33.0,112.0,42.0,79.0,1.0,3.0,27.0,35.0,12.0,24.0,18.0,15.0,10.0,3.0,36.0,1.0,,1.0,1507.4312120097838,1
1981,1610612759,171.0,68.0,116.0,1.0,3.0,34.0,39.0,15.0,34.0,43.0,14.0,7.0,8.0,34.0,166.0,68.0,111.0,3.0,4.0,27.0,36.0,6.0,29.0,34.0,11.0,10.0,3.0,34.0,133.525,133.1,1,1,128.06590526118703,124.71825694966192,3.3476483115251057,0.5905172413793104,0.10484927916120576,0.3409090909090909,1.0,1.0,171.0,68.0,116.0,1.0,3.0,34.0,39.0,15.0,34.0,43.0,14.0,7.0,8.0,34.0,166.0,68.0,111.0,3.0,4.0,27.0,36.0,6.0,29.0,34.0,11.0,10.0,3.0,34.0,1.0,,1.0,1508.2556808514796,1
1981,1610612760,87.0,33.0,84.0,0.0,4.0,21.0,24.0,13.0,8.0,20.0,19.0,4.0,7.0,29.0,100.0,39.0,97.0,1.0,1.0,21.0,35.0,25.0,21.0,22.0,18.0,11.0,3.0,29.0,101.4,106.625,1,0,85.79881656804733,93.78663540445487,-7.987818836407541,0.39285714285714285,0.18737672583826429,0.38235294117647056,0.0,0.0,87.0,33.0,84.0,0.0,4.0,21.0,24.0,13.0,8.0,20.0,19.0,4.0,7.0,29.0,100.0,39.0,97.0,1.0,1.0,21.0,35.0,25.0,21.0,22.0,18.0,11.0,3.0,29.0,,0.0,0.0,1492.512201897804,9
1981,1610612765,91.0,36.0,95.0,2.0,6.0,17.0,26.0,23.0,27.0,19.0,22.0,8.0,1.0,25.0,101.0,43.0,87.0,0.0,1.0,15.0,18.0,10.0,34.0,34.0,21.0,7.0,7.0,28.0,106.35,106.55,1,0,85.56652562294312,94.79117785077429,-9.224652227831172,0.3894736842105263,0.2068641278796427,0.40350877192982454,0.0,0.0,91.0,36.0,95.0,2.0,6.0,17.0,26.0,23.0,27.0,19.0,22.0,8.0,1.0,25.0,101.0,43.0,87.0,0.0,1.0,15.0,18.0,10.0,34.0,34.0,21.0,7.0,7.0,28.0,,0.0,0.0,1493.6365966503347,9
